id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
,"Five years of youth, or, Sense and sentiment","Martineau, Harriet, 1802-1876","Rickerby, Joseph (printer)",,,,English,text,print,"viii, 264 p., [4] leaves of plates : ill. ; 19 cm",Fiction|||Juvenile fiction|||Juvenile works,,Young women|||Conduct of life|||Sisters|||Generosity|||Selfishness,,England,,,,,,
,"flag sergeant, or the life, adventures, repentance, and death of James Wooley, The","Knill, Richard, 1787-1857","Presbyterian Church in the U.S.A, Board of Publication.",,,,English,text,print,31 p. : ill. ; 11 cm.,Biography,,"Christian converts|||Repentance|||Salvation|||Woolley, James 1793-1843",,Great Britain,,,,,,
,"flat iron for a farthing, or, some passages in the life of an only son, A","Ewing, Juliana Horatia, 1841-1885",,,,,English,text,print,"vii, 284 p. ; 18 cm.",,,,,,,,,,,
,"flat iron for a farthing: or, Some passages in the life of an only son, A","Ewing, Juliana Horatia, 1841-1885",,,,,English,text,print,226 p. ill. 19 cm.,Fiction|||Juvenile works,,Boys|||Juvenile fiction,,,,,,,,
,"flat iron for a farthing, or, Some passages in the life of an only son, A","Ewing, Juliana Horatia, 1841-1885","Allingham, Helen Paterson, 1848-1926",,,,English,text,print|||unmediated|||volume,"[10], 116 pages : illustrations ; 22 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Boys|||Children's stories,,,,,,,,
,Flaxie Frizzle,"May, Sophie, 1833-1906",,,,,English,text,print|||unmediated|||volume,"182 pages, [2] leaves of plates : illustrations ; 16 cm.",Fiction|||Juvenile fiction|||Juvenile works|||text,,Girls,,,,,,,,
,"floating prince, and other fairy tales, The","Stockton, Frank R., 1834-1902","Bensell, Edmund Birckhead, 1842-|||Grant, Faires & Rodgers (printer)",,,,English,text,print,"199, [1] p. : ill. ; 21 cm.",Juvenile literature-1881,,Fairy tales,,United States,,,,,,
,Flora Maitland,,,,,,English,text,print,"211, [5] p., [1] leaf of plates : 1 ill. ; 15 cm.",,,,,,,,,,,
,"Flora Selwyn, or, How to behave: a book for little girls",,,,,,English,text,print|||unmediated|||volume,"126 pages, 4 unnumbered leaves of plates : color illustrations ; 17 cm",Fiction|||Juvenile fiction|||text,,Children|||Conduct of life|||Etiquette for children and teenagers|||Families|||Brothers and sisters,,,,,,,,
,Flora's feast: a masque of flowers,"Crane, Walter, 1845-1915",,,,,English,text,print,"40, [1] leaves, [1] 2-8 p. : col. ill. ; 26 cm.",Fiction,,Flowers|||Stories in rhyme,,,,,,,,
,"Florence stories, The","Abbott, Jacob, 1803-1879",,,,,English,text,print,"6 v. fronts., plates. 17 cm.",Juvenile fiction,,Description and travel,,Europe,,,,,,
,Flower fables,"Alcott, Louisa May, 1832-1888",,,,,English,text,print,198 p. ; 15 cm.,,,,,,,,,,,
,Flower fables,"Alcott, Louisa May, 1832-1888",,,,,English,text,print,178 p. ; 19 cm.,Fairy tales|||Juvenile literature,,Conduct of life|||Fairies,,,,,,,,
,"flower-vase, or, Pretty poems for good little children, The",,"Howland, William.",,,,English,text,print,16 p. : ill. ; 12 cm.,Specimens,,Children's poetry|||Chapbooks,,,,,,,,
,Flowers for children,"Child, Lydia Maria, 1802-1880",,,,,English,text,print,3 pts. in 1 v. : ill. ; 18 cm.,Juvenile literature,,American fiction,,,,,,,,
,Flowers for children: for children from four to six years old,"Child, Lydia Maria, 1802-1880",,,,,English,text,print,178 p. : ill. ; 15 cm.,,,Children's stories|||Children's poetry,,,,,,,,
,"Flowers for the nursery, or, A good child's nosegay: containing alphabets, easy lessons &c. : A gift from Mamma to her best love. : [Two lines of text] : (Fifth series,--no. 5.)",,,,,,English,text,print,16 p. : ill. ; 10 cm.,Alphabet books-1835|||Chapbooks-1835|||Juvenile literature|||Juvenile literature-1832|||Poems-1835,,Children's poetry|||Conduct of life,,"United States, New Hampshire, Concord",,,,,,
,"flowers of the forest, The","Sherwood, Mary Martha, 1775-1851",,,,,English,text,print,104 p. 14 cm.,Juvenile fiction,,"Juvenile literature, Religious|||Conduct of life|||Protestantism|||Juvenile fiction|||Anti-Catholicism",,,,,,,,
,"flowers of the forest, The","Sherwood, Mary Martha, 1775-1851",Religious Tract Society (Great Britain),,,,English,text,print,108 p. : ill. (wood-engravings) ; 15 cm,Juvenile literature,,Protestantism|||Conduct of life|||Anti-Catholicism,,,,,,,,
,"flowers of the forest, The","Sherwood, Mary Martha, 1775-1851",Religious Tract Society (Great Britain),,,,English,text,print,108 p. : ill. ; 15 cm.,Juvenile literature|||Parables,,Evangelicalism|||Protestantism,,,,,,,,
,Foiled by loving,"Clay, Bertha M., 1836-1884",,,,,English,text,print|||unmediated|||volume,337 pages ; 18 cm.,novel|||text,,,,,,,,,,
,Folk and hero tales,"MacDougall, James, 1833-1906","Nutt, Alfred Trübner, 1856-1910|||Griset, Ernest (illustrator)",,,,Irish|||English,text,print,"xxix, 311 p. front., plates 23 cm.",,,"Tales, Celtic|||Celts|||Folklore",,England,,,,,,
,"Food for the mind, or: a new riddle-book",John-the-Giant-Killer.,,,,,English,text,print,"viii, 112 p. ill. ; 13 cm.",,,"Riddles, Juvenile",,,,,,,,
,Food for the young: adapted to the mental capacities of children of tender years,,"Darton, William, 1781-1854 (prt)",,,,English,text,print,"[4], 176 p., [3] leaves of plates : ill. ; 15 cm",Juvenile fiction|||novel,A mother entertains her children with stories of travels and observations of the natural world.,Children|||Conduct of life|||Voyages and travels|||Manners and customs|||Families|||Natural history|||Storytelling,,,,,,,,
,"For each and for all, or, Letitia and Maria","Martineau, Harriet, 1802-1876",,,,,English,text,print|||unmediated|||volume,176 pages ; 16 cm,Fiction|||text,,Industrial relations|||Food supply,,Great Britain,,,,,,
,"For England, home, and beauty: a story of battle and the breeze","Stables, Gordon, 1840-1910",,,,,English,text,print|||unmediated|||volume,"384, 16 pages, [8] leaves of plates : illustrations ; 20 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Sea life|||Sailors|||Patriotism|||Seafaring life|||Great Britain. Royal Navy,,Great Britain,,,,,,
,For Lilias: a novel,"Carey, Rosa Nouchette, 1840-1909",,,,,English,text,print|||unmediated|||volume,424 pages ; 19 cm,novel|||text,,,,,,,,,,
,"Foreign visitant: containing interesting observations and remarks, made by an inhabitant of Terra Incognita, on the character and manners of the inhabitants of this earth; particularly in relation to the Lord's Day, The","Oliver, Daniel, 1753-1840",,,,,English,text,print,71 p. ill. 15 cm.,,,Sabbath,,,,,,,,
,"forest of Bondy; or, The dog of Montargis: an interesting and original romance, The","Pixérécourt, R.-C. Guilbert de (René-Charles Guilbert de), 1773-1844",,,,,English,text,print,"2 p. l., [7]-30 p. : incl. fold. col. front. ; 19 cm.",,,,,,,,,,,
,Forget me not: a Christmas and New Year's present for MDCCCXL,,"Shoberl, Frederic, 1775-1853",,,,English,text,print,"viii, 11-359 p. : plates ; 14 cm",,,Gift books|||English literature|||American literature,19th century|||19 century,,,,,,,
,Forging the fetters,"Alexander, Mrs, 1825-1902",,,,,English,text,print|||unmediated|||volume,154 pages ; 17 cm,text,,,,,,,,,,
,"Forrester's boys' and girls' magazine, and fireside companion",,"Forrester, Francis (ed)",,,,English,text,print,v. : ill. ; 21 cm.,periodical,,,,,,,,,,
,Forrester's playmate,,"Forrester, Francis, 1813-1898",,,,English,text,print,v. : ill. ; 22 cm,Periodicals|||periodical,,Children's literature,,,,,,,,
,"Forty thieves, The","Crane, Walter, 1845-1915",,,,,English,text,print,8 leaves : ill. ; 27 cm.,,,Nursery rhymes,,,,,,,,
,"forty thieves: adorned with cuts, The",,"C. & C. Whittingham (London, England) (printer)",,,,English,text,print|||unmediated|||volume,"94 pages, 1 unnumbered leaf of plates : illustrations ; 67 mm",Specimens|||text,,Miniature books|||Fairy tales,,Arab countries,,,,,,
,Four and what they did,"Campbell, Helen, 1839-1918","H.O. Houghton & Company (str, prt)",,,,English,text,print,"[4], 315 : ill. ; 18 cm.",Children's stories|||novel,,,,"United States, Massachusetts, Cambridge|||United States, New York, New York",,,,,,
,"Four feet, two feet, and no feet, or, Furry and feathery pets and how they live","Richards, Laura Elizabeth Howe, 1850-1943","Barnes, Culmer (illustrator)|||Shelton, W. H. (William Henry), 1840-1932? (illustrator)|||Rockwell and Churchill (printer)",,,,English,text,print|||unmediated|||volume,"viii, 276 pages : illustrations ; 23 cm",Fiction|||Juvenile fiction|||Juvenile works|||short story|||text,,Children|||Conduct of life|||Animals|||Human-animal relationships|||Nature stories|||Children's stories|||Natural history,,,,,,,,
,Four girls at Chautauqua,"Pansy, 1841-1930",,,,,English,text,print|||unmediated|||volume,"474, [2] pages, [2] leaves of plates : illustrations ; 20 cm.",Fiction|||Juvenile fiction|||Juvenile works|||text,,Young women|||Clergy|||Camp meetings|||Conduct of life|||Conversion|||Sunday school teachers,,Chautauqua|||New York (State)|||Chautauqua (N.Y.),,,,,,
,Four private libraries of New York: a contribution to the history of bibliophilism in America.  First series,"Pène du Bois, Henri, 1858-1906",,,,,English,text,print,"[4], 119, [1] p. front., illus., 11 pl. (part col.) facsim. 24 cm.",,,"Libraries|||Avery, Samuel Putnam 1822-1904|||Blacque, Valentin A|||De Forest, George Beach|||Jolly-Bavoillot, Charles 1821-1895",,New York (State)|||New York,,,,,,
,"fox jumps over the parson's gate, The","Caldecott, Randolph, 1846-1886",,,,,English,text,print|||unmediated|||volume,"22, [2] pages : chiefly illustrations (some color) ; 21 x 24 cm.",text,,"Nursery rhymes, English|||Children's songs",,England,,,,,,
,"fox jumps over the parson's gate, The","Caldecott, Randolph, 1846-1886",,,,,English,text,print,"22, [2] p. : chiefly ill. (some col.) ; 21 x 24 cm.",,,"Nursery rhymes, English|||Children's songs",,England,,,,,,
,"fox's story: stories, The","Veale, E.","Cox, Palmer, 1840-1924",,,,English,text,print,[16] pages : illustrations ; 23 cm,Juvenile fiction,,Animals|||Children's stories,,,,,,,,
,"Frank and fearless, or, The fortunes of Jasper Kent","Alger, Horatio, Jr, 1832-1899",,,,,English,text,print|||unmediated|||volume,"iv, 322 pages, 4 unnumbered leaves of plates : illustrations ; 20 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,"When the family fortune falls into the hands of his scheming stepmother, a young boy journeys westward to seek his fortune.",Interpersonal relations|||Boarding schools|||Teenage boys,,,,,,,,
,Frank at Don Carlos' rancho,"Castlemon, Harry, 1842-1915",,,,,English,text,print|||unmediated|||volume,"iv, 280 pages : illustrations ; 20 cm.",Juvenile fiction|||text,,Ranches|||Country life|||Adventure stories,,,,,,,,
,Frank in the woods,"Castlemon, Harry, 1842-1915","Castlemon, Harry, 1842-1915|||John C. Winston Company",,,,English,text,print|||unmediated|||volume,"vi, 256 pages ; 20 cm.",text,,,,,,,,,,
,"Frank Leslie's boys' and girls' weekly: an illustrated journal of amusement, adventure, and instruction",,"Leslie, Frank, 1821-1880",,,,English,text,print|||unmediated|||volume,volumes : illustrations ; 32-43 cm,Periodicals|||periodical|||text,,Children's periodicals|||Children's literature|||Popular literature,1800-1899|||19th century,"United States|||United States, New York, New York",,,,,,
,Frank Leslie's Chatter book,,"Leslie, Frank, 1821-1880",,,,English,text,print,1 v. : ill. ; 26 cm.,Periodicals,,"Children's literature, American",,,,,,,,
,Frank Leslie's Christmas book,,,,,,English,text,print,v. : ill. ; 26 cm.,Children's periodicals|||Periodicals,,"Children's literature, American",,,,,,,,
,Frank Nelson in the forecastle: or the sportsman's club among the whalers,"Castlemon, Harry, 1842-1915",,,,,English,text,print,"2 p. leaves, iii-iv [5]-332 p., 1ℓ. : ill. ; 16.9 cm.",,,,,,,,,,,
,Frank on a gun-boat,"Castlemon, Harry, 1842-1915",,,,,English,text,print|||unmediated|||volume,256 pages plates 19 cm.,Fiction|||History|||text,,History|||American Civil War (1861-1865),"1861 - 1865|||Civil War, 1861-1865",Mississippi River,,,,,,
,Frank on the lower Mississippi,"Castlemon, Harry, 1842-1915",,,,,English,text,print|||unmediated|||volume,"viii, 236 pages : illustrations ; 19 cm.",Fiction|||History|||text,,History|||American Civil War (1861-1865),"1861 - 1865|||Civil War, 1861-1865",United States,,,,,,
,Frank on the prairie,"Castlemon, Harry, 1842-1915",,,,,English,text,print|||unmediated|||volume,"viii, 245 pages : illustrations ; 20 cm.",Fiction|||Juvenile fiction|||Juvenile works|||text,,Prairies|||Frontier and pioneer life,,Middle West,,,,,,
,"Frank Talbot: or, Unstable as water","Grosvenor, H. S. (Harriet Sanborn), 1823-1863",,,,,English,text,print,"69 p., 1 leaf of plates : ill. ; 15 cm.",Juvenile fiction,,Sunday school literature|||Children's stories|||School children,,,,,,,,
,Frank Wildman's adventures on land and water,"Gerstäcker, Friedrich, 1816-1872",,,,,English,text,print|||unmediated|||volume,"viii, 312 pages : illustrations ; 18 cm",text,,,,,,,,,,
,"Franklin, the apprentice boy","Abbott, Jacob, 1803-1879","Abbott, Jacob, 1803-1879",,,,English,text,print,160 p. : ill. ; 17 cm.,biography,,"Franklin, Benjamin 1706-1790",,,,,,,,
,"Frank's campaign, or, The farm and the camp","Alger, Horatio, Jr, 1832-1899",,,,,English,text,print|||unmediated|||volume,"296, 8 pages, 2 unnumbered leaves of plates : illustrations ; 18 cm.",Juvenile fiction|||novel|||text,"While his father is serving in the Union Army during the Civil War, young Frank must work the family farm and find a way to pay off the mortgage.",Boys|||Conduct of life|||Poverty|||Farm life|||Success|||History|||American Civil War (1861-1865),"1861-1865|||Civil War, 1861-1865",United States,,,,,,
,"Freaks of fortune; or, Half round the world","Optic, Oliver, 1822-1897","Optic, Oliver, 1822-1897 (copyright holder)|||Champney, W. L. (ill)|||Kilburn, Samuel Smith (engraver)",,,,English,text,print,"303, [1] p., [8] leaves of plates : ill. ; 18 cm.",Juvenile fiction,,Children's stories|||Young men|||Young women|||Money|||Theft|||Boats and boating|||African Americans|||Abduction|||Courts|||Voyages and travels|||Shipwrecks|||Uncles,,New England,,,,,,
,"Free traveling libraries in Wisconsin: the story of their growth, purposes, and development; with accounts of a few kindred movements",,Wisconsin Free Library Commission,,,,English,text,print,"39, [1] p. front., plates. 23 cm.",,,Traveling libraries,,,,,,,,
,French book-plates: a handbook for ex-libris collectors,"Hamilton, Walter, 1844-1899",,,,,English,text,print,"vi, 175 p., [10] leaves of plates : ill. ; 20 cm.",bibliography,,"Bookplates, French|||Bookplates|||Collectors and collecting",,France,,,,,,
,Friends in need: The mother's return,,,,,,English,text,print,"36 p., [2] leaves of plates : ill. ; 16 cm.",Juvenile fiction,,Mothers and daughters|||Children|||Conduct of life|||Romanies|||Christian life,,,,,,,,
,Friendship's gift: a souvenir for MDCCCXLVIII,,"Percival, Walter.",,,,English,text,print,"312 p., [9] leaves of plates : ill. ; 20 cm",,,Gift books,,,,,,,,
,"Friendship's offering, and winter's wreath",,,,,,English,text,print,v. : plates ; 16 cm.,Periodicals,,Gift books,,,,,,,,
,Frisk and his flock,"Sanford, D. P., Mrs",,,,,English,text,print,"vi, 184 p., [33] leaves of plates : ill. ; 22 cm.",,,,,,,,,,,
,Frisky the squirrel,"Bowen, C. E. (Charlotte Elizabeth), 1817-1890",Kronheim & Co (prt),,,,English,text,print,12 leaves : col. ill. ; 27 cm.,"Children's poetry, English|||Children's poetry-19th century|||Juvenile poetry|||Picture books for children-Juvenile poetry|||Publishers' advertisements-1869",,Squirrels,,"England, London",,,,,,
,"frog he would a-wooing go, A","Caldecott, Randolph, 1846-1886",,,,,English,text,print|||unmediated|||volume,"22, [2] pages : chiefly illustrations (some color) ; 21 x 24 cm.",Juvenile literature-England-19th century|||Picture books for children|||text,,"Folk songs, English",,,,,,,,
,"From canal boy to President: or, The boyhood and manhood of James A. Garfield","Alger, Horatio, Jr, 1832-1899",,,,,English,text,print,"334 p., vi : ill. ; 18 cm.",biography,,"Childhood and youth|||Presidents|||Biography|||Garfield, James A. (James Abram) 1831-1881",,United States,,,,,,
,"From farm house to the White House: the life of George Washington; his boyhood, youth, manhood, public and private life and services","Thayer, William M., 1820-1898",,,,,English,text,print,503 p. : front. ; 19 cm.,Biography|||Juvenile literature,"A biography of George Washington, the general who led the American army in the Revolutionary War and then became the first president of the United States.","Presidents|||Washington, George 1732-1799",,United States,,,,,,
,From jest to earnest: illustrated,"Roe, Edward Payson, 1838-1888",,,,,English,text,print|||unmediated|||volume,413 pages : illustrations ; 21 cm,text,,,,,,,,,,
,"From Midshipman to Commodore: or, The glories of our infant navy","Sheridan, Frank",,,,,English,text,print|||unmediated|||volume,208 pages ; 18 cm,Biography|||Fiction|||Juvenile fiction|||Juvenile works|||Specimens|||text,,"Dime novels, American|||Decatur, Stephen 1779-1820|||United States. Navy",,,,,,,,
,"Fun upon fun: or, Leper, the tailer : in two parts, with a selection of entertaining anecdotes","Graham, Dougal, 1724-1779",,,,,English,text,print,24 p. 16 cm.,,,"Chapbooks, English",,Scotland,,,,,,
,Funny foxes,"Cox, Palmer, 1840-1924","Veale, E.",,,,English,text,print|||text|||regular print,[16] p. : ill. ; 23 cm.,Juvenile fiction|||short story,,Children's stories|||Animals,,,,,,,,
,"fur-seal's tooth: a story of Alaskan adventure, The","Munroe, Kirk, 1850-1930","Rogers, W. A. (William Allen), 1854-1931 (ill)",,,,English,text,print,"viii, 267, [5] p., [34] leaves of plates : ill. ; 19 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1894|||Juvenile works,,Youth|||Conduct of life|||Voyages and travels|||Adventure stories|||Friendship|||Hunting|||Animals|||Accidents|||Shooting|||Natural history,,Alaska,,,,,,
,"G.T.T: or, The wonderful adventures of a Pullman","Hale, Edward Everett, 1822-1909",,,,,English,text,print,"221 p. : ill., music ; 18 cm.",,,Children's stories,,,,,,,,
,Games for family parties and children,"Valentine, L. (Laura), 1814-1899",,,,,English,text,print,"192 p. : ill., front. ; 19 cm.",,,,,,,,,,,
,"Gammer Gurton's famous histories: of Sir Guy of Warwick, Sir Bevis of Hampton, Tom Hickathrift, Friar Bacon, Robin Hood, and the King and the Cobbler","Thoms, William John, 1803-1885",,,,,English,text,print,"[4], 1-90, [1] p. : ill. ; 17 cm.",,,Heroes|||Juvenile fiction. 650/2: 0:Tales,,,,,,,,
,Gammer Gurton's garland: or the nursery parnassus ; a choice collection of pretty songs and verses for the amusement of all little good children who can neither read nor run,,,,,,English,text,print,65 p. ; 20 cm.,,,Nursery rhymes,,,,,,,,
,"garden behind the moon: a real story of the moon angel, The","Pyle, Howard, 1853-1911",,,,,English,text,print,"vii, 192 p. incl. illus., plates. front. 22 cm.",,,"Pyle, Howard 1853-1911",,,,,,,,
,"garland for girls, A","Alcott, Louisa May, 1832-1888",,,,,English,text,print,258 p. : ill. ; 18 cm.,,,,,,,,,,,
,"garland, or, Token of friendship, The",,"Percival, Emily.|||Fields, James Thomas, 1817-1881",,,,English,text,print,8 v. : ill. ; 19 cm,,,Gift books,,"United States, Massachusetts, Boston",,,,,,
,"Gem, or, Young ladies' common-place book, The",,,,,,English,text,print|||unmediated|||volume,"287 pages, 7 unnumbered leaves of plates : illustrations ; 16 cm",text,,Gift books,,"United State, Pennsylvania, Philadelphia",,,,,,
,"Geography for children, on a perfectly easy plan: adapted for the use of schools and private families","Guy, J. (John)",,,,,English,text,print|||unmediated|||volume,"108 pages, 6 unnumbered leaves of plates : color maps ; 15 cm","Juvenile literature|||Juvenile works|||Problems and exercises|||Problems, exercises, etc|||Textbooks|||text",,Geography,,,,,,,,
,George at the wheel: or life in the pilot-house,"Castlemon, Harry, 1842-1915",John C. Winston Company,,,,English,text,print|||unmediated|||volume,"3 preliminary leaves, v-vii, 8-370, [1]-8 pages, 2 leaves : illustrations ; 18.7 cm.",text,,,,,,,,,,
,Georgie's present: or tales of Newfoundland,"Brightwell, C. L. (Cecilia Lucy), 1811-1875",,,,,English,text,print,80 p. : ill. ; 16 cm.,,,,,,,,,,,
,Getting ahead,"Pansy, 1841-1930",,,,,English,text,print,1 v. (unpaged) : ill. ; 19 cm.,,,,,,,,,,,
,"ghost of my uncle: to which is added, The outwitted tax-gatherer, The",,,,,,English,text,print,24 p. ; 16 cm.,,,"Chapbooks, Scottish",,,,,,,,
,"Giant hunting, or, Little Jacket's adventures","Cranch, Christopher Pearse, 1813-1892",,,,,English,text,print|||unmediated|||volume,"iv, 70; viii, 95 pages, 6 unnumbered leaves of plates : illustrations ; 21 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Children's stories|||Adventure stories|||Giants|||Gnomes|||Caves,,,,,,,,
,"giant killer: or, The battle which all must fight, The","A. L. O. E., 1821-1893",Dalziel Brothers (egr),,,,English,text,print,165 p. : ill. (some col.) ; 19 cm,Juvenile fiction|||novel,,Children|||Conduct of life|||Brothers and sisters|||Christian life|||Giants|||Pride and vanity|||Religious aspects|||Conscience,,,,,,,,
,"Gibraltar gallery: being an account of various things both curious and useful, The","Abbott, Jacob, 1803-1879",,,,,English,text,print,"xii, [13]-160 p. : ill., front. ; 18 x 14 cm.",,,,,,,,,,,
,"gift for my young friends, A","Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,,,,English,text,print,260 p. : ill. ; 16 cm,Juvenile literature|||Juvenile works,"Contains prose and poetry, natural history, fables, epigrams and conduct of life suggestions.",Children's poetry|||Fables,,,,,,,,
,"gift to young friends; or, The good man of the mill, A",,,,,,English,text,print,"1 v. col. front., col. plates. ; 15 cm.",,,,,,,,,,,
,Giftie the changeling,C. C.,J. & W. Rider (Firm) (prt),,,,English,text,print,"96 p., [1] leaf of plates : ill. ; 12 cm.",Juvenile fiction|||Printed boards (Binding)-1865|||Publishers' advertisements-1865|||novel,,Superstition|||Love|||Brothers and sisters|||Infants switched at birth|||Abduction|||Cruelty|||Jealousy|||Changelings,,"England, London",,,,,,
,"Gilbert Harland; or, Good in everything: being the early history of a city boy","Barwell, Louisa Mary Bacon, 1800-1885",,,,,English,text,print,"211, 5⁾ p., 1 leaf : ill. ; 16 cm.",,,,,,,,,,,
,"Giles's minority: or, Scenes at the Red House","O'Reilly, Robert, Mrs",,,,,English,text,print,275 p. ; 17 cm.,,,,,,,,,,,
,Giovanni and the other: children who have made stories,"Burnett, Frances Hodgson, 1849-1924",,,,,English,text,print,"x, 193 p., [9] leaves of plates : ill. ; 22 cm.",,,,,,,,,,,
,"gipsy fortune-teller; or, The troubadour: for little boys and little girls, The","Hughs, (Mary)., Mrs","Sherman, Conger, 1793-1867 (printer)|||Fagan, J. (John) (stereotyper)",,,,English,text,print,64 p. : col. ill. ; 16 cm.,Juvenile fiction,,Children's stories|||Romanies,,,,,,,,
,"girl of '76, A","Blanchard, Amy Ella, 1856-1926","Waugh, Ida, -1919 (ill)",,,,English,text,print|||unmediated|||volume,"331, [4] pages, [5] leaves of plates : illustrations ; 20 cm",Fiction|||History|||Juvenile fiction|||Juvenile works|||Publishers' catalogues-1898|||novel|||text,,Youth|||Conduct of life|||Fathers and daughters|||Cousins|||Uncles|||Courtship|||Sacrifice|||Loyalty|||History|||Social life and customs|||American Revolution (1775-1783),"1775 - 1783|||Revolution, 1775-1783","United States|||United States, Illinois, Chicago|||United States, Massachusetts, Boston|||Massachusetts",,,,,,
,"girlhood of Shakespeare's heroines in a series of fifteen tales, The","Clarke, Mary Cowden, 1809-1898",,,,,English,text,print,3 v. 17 cm.,Fiction,,"Characters|||Women|||Shakespeare, William 1564-1616",,,,,,,,
,"girl's own annual, The",,,,,,English,text,print,v. ill. 28 cm.,Periodicals,Some volumes also include extra numbers.,Children's literature,,,,,,,,
,"girls' own book, The","Child, Lydia Maria, 1802-1880",,,,,English,text,print,"viii, 288 p., [1] leaf of plates : ill., music ; 18 cm.",Juvenile literature,,Games|||Entertainment|||Recreation,,,,,,,,
,"girl's own treasury: specially designed for the amusement and instruction of young ladies, The",,,,,,English,text,print|||unmediated|||volume,480 pages : illustrations,text,,Girls|||Conduct of life|||Young women|||Handicraft|||Fancy work|||Amusements|||Women|||Education,,,,,,,,
,"girl's play-time book: a miscellany of entertaining stories and articles, The",,,,,,English,text,print,"vii, 572 p., 6 leaves of plates : ill. (some col.) ; 25 cm.",,,"Children's stories, English",,,,,,,,
,"glance at philosophy, mental, moral and social, A","Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,,,,English,text,print,320 p. : front. ; 18 cm.,Juvenile literature,,Philosophy|||Juvenile literature|||Economics|||Psychology|||Reasoning,,,,,,,,
,"glance at the physical sciences: or, The wonders of nature, in earth, air, and sky, A","Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,,,,English,text,print,352 p. : illus. ; 18 cm.,Juvenile literature,,Science,,,,,,,,
,"Glaucus; or, The wonders of the shore","Kingsley, Charles, 1819-1875",,,,,English,text,print,"165, 3, 16 p. : front. ; 18 cm.",,,Marine animals|||Juvenile literature|||Publishers' catalogs|||Specimens,,,,,,,,
,"Gleams of sunshine in poem, prose and picture: containing the choicest thoughts of the best authors of all ages, comprising love and friendship ... and comforting thoughts",,"Williams, Alice L.",,,,English,text,print,670 p. : ill. ; 25 cm.,Collections,,Poetry|||Literature,,,,,,,,
,"Gleaner, a selection of poems for youth, The",,,,,,English,text,print,vii. 100 p. ; 15 cm.,,,,,,,,,,,
,"Glen of the echoes, or, Dan Manony and Dora Sullivan: a tale of Ireland","Martineau, Harriet, 1802-1876",,,,,English,text,print|||unmediated|||volume,178 pages ; 16 cm,Fiction|||text,,Social conditions,1800-1899|||19th century,Ireland,,,,,,
,Glimpses through,"Hollis, Ellen L. Biscoe.",,,,,English,text,print|||unmediated|||volume,374 pages ; 19 cm,text,,,,,,,,,,
,"goblin snob, The","Stephens, H. L. (Henry Louis), 1824-1882",,,,,English,text,print|||unmediated|||volume,96 pages : illustrations ; 16 x 23 cm,Juvenile poetry|||Juvenile works|||Poetry|||text,,"Goblins|||Wit and humor, Juvenile",,,,,,,,
,"goblin spider, The",,"Hearn, Lafcadio, 1850-1904|||John Davis Batchelder Collection (Library of Congress)",,,,English|||Japanese,text,print|||unmediated|||volume,[18] pages : color illustrations ; 16 cm.,Fairy tales|||Folklore|||Translations into English|||short story|||text,,"Fairy tales|||Folklore|||Children's stories, Japanese",,"Japan|||Japan, Tokyo",,,,,,
,"Gog and Magog: The giants in Guildhall; their real and legendary history.  With an account of other civic giants, at home and abroad","Fairholt, F. W. (Frederick William), 1814-1866",,,,,English,text,print,"xii, 152 p. : col. front., illus., pl. ; 18 cm.",,,Legends|||Giants,,,,,,,,
,"Going West, or, The perils of a poor boy","Optic, Oliver, 1822-1897",John Andrew & Son (egr),,,,English,text,print|||unmediated|||volume,"350 pages, [13] leaves of plates : illustrations ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Youth|||Conduct of life|||Sailors|||Orphans|||Child abuse|||Honesty|||Poverty|||Success,,"Great Lakes (North America); Lake States|||Great Lakes Region|||United States, Massachusetts, Boston|||Great Lakes Region (North America)",,,,,,
,"gold of Fairnilee, The","Lang, Andrew, 1844-1912","Scott, Tom, 1854-1927 (illustrator)|||Lemann, E. A. (illustrator)|||E.S. & A. Robinson Limited (lithographer)",,,,English,text,print|||unmediated|||volume,"[7], 86, [2] pages, [14] leaves of plates : illustrations (some color) ; 25 cm",Fiction|||History|||Juvenile fiction|||Juvenile works|||Publishers' advertisements-1893|||novel|||text,,"Knights and knighthood|||Mothers and sons|||Children and death|||Treasure troves|||Youth|||Conduct of life|||Flodden, Battle of, England, 1513|||History|||Flodden, Battle of (England : 1513)","1488-1513|||James IV, 1488-1513","England, London|||England, Bristol|||Scotland|||England",,,,,,
,"gold thimble: a story for little folks, The","Optic, Oliver, 1822-1897",,,,,English,text,print,"96 p., [4] leaves of plates : ill. ; 15 cm.",,,Children's stories,,,,,,,,
