,assignee,link,genre_extended,genre_2_extended,level_of_confidence,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
221,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066249131,serials (publications),periodicals​,3=high confidence,31735066249131,"partisan review, vol. 1 no. 2,",,,,university of pittsburgh,25.0,4.0,text,archival document
222,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227772,pamphlets​,,3=high confidence,31735066227772,on certain aspects of bourgeois nationalism pamphlet,,,,university of pittsburgh,1.0,53.0,text,archival document
223,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658377,pamphlets​,,3=high confidence,31735061658377,"""appalachia u.s.a."", a study in poverty, by george meyers",,,,university of pittsburgh,3.0,74.0,text,archival document
224,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656108,pamphlets​,,3=high confidence,31735061656108,"now is the time, by m.e. travis",,,,university of pittsburgh,1.0,43.0,text,archival document
225,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538439,pamphlets​,,3=high confidence,31735061538439,"women, war and fascism, by dorothy mcconnell,",,1935-12,,university of pittsburgh,6.0,6.0,text,archival document
226,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228291,serials (publications),,3=high confidence,31735066228291,"""yiddish short stories"",",,1923,,university of pittsburgh,5.0,15.0,text,archival document
227,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540088,leaflets (printed works),,3=high confidence,31735061540088,"flyer for the peace and freedom party nominee for lieutenant governor, clyde kuhn,",,1986,,university of pittsburgh,8.0,30.0,text,archival document
228,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913248,serials (publications),periodicals​,3=high confidence,31735067913248,mine mill union; union; mine-mill union; sindicato,,,1966-07,university of pittsburgh,,,text,periodical; periodicals.; periodicals
229,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657569,pamphlets​,,3=high confidence,31735061657569,"the menace of american imperialism, by william z. foster",,1945-10,,university of pittsburgh,2.0,141.0,text,archival document
230,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058193958,correspondence,,2= moderate confidence,31735058193958,"""the youth peace corps and the cold war"" memo,",,1961,,university of pittsburgh,8.0,4.0,text,archival document
231,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061657353,transcripts,,2= moderate confidence,31735061657353,only the people can decide,,,,university of pittsburgh,2.0,48.0,text,archival document
232,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194055,pamphlets​,,3=high confidence,31735058194055,"mccarthyism in the courts: the story of the steve nelson frame-up pamphlet,",,1951,,university of pittsburgh,2.0,122.0,text,archival document
233,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544072,files (document groupings),,1=slight confidence,31735061544072,assorted leftist papers,,,,university of pittsburgh,10.0,72.0,text,archival document
234,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151015,serials (publications),periodicals​,3=high confidence,31735065151015,mine mill union; union; mine-mill union; sindicato,,,1954-11-08,university of pittsburgh,,,text,periodical; periodicals.; periodicals
235,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075225,serials (publications),newspaper​s,3=high confidence,31735070075225,"political action; political action (milwaukee, wis.)",,,1912-06-22,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
236,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735047448547,serials (publications),,3=high confidence,31735047448547,"fraternal outlook, official organ of the international workers order,",,1939-05,,university of pittsburgh,5.0,18.0,text,archival document
237,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450451,serials (publications),newspaper​s,2= moderate confidence,31735047450451,"public employee press vol. 14 no. 2,",,1985-03,,university of pittsburgh,37.0,38.0,text,archival document
238,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451699,​fliers,,3=high confidence,31735047451699,"""socialism: what is it? and how?"" flyer",,,,university of pittsburgh,38.0,13.0,text,archival document
239,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543876,pamphlets​,,3=high confidence,31735061543876,"""tampa- tar and terror""",,,,university of pittsburgh,10.0,79.0,text,archival document
240,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068354855,serials (publications),periodicals​,3=high confidence,31735068354855,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1952-06-02,university of pittsburgh,,,text,periodical; periodicals.; periodicals
241,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655458,serials (publications),newsletters​,3=high confidence,31735051655458,"lc news letter vol. 2, no. 12,",,1939-12,,university of pittsburgh,14.0,19.0,text,archival document
242,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228531,serials (publications),,3=high confidence,31735066228531,"little blue book, no. 1703, organizing the world for socialism, clarence senior,",,1931,,university of pittsburgh,10.0,100.0,text,archival document
243,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657460,pamphlets​,,3=high confidence,31735061657460,"the twelve and you, what happens to democracy is your business, too!, by elizabeth gurley flynn",,,,university of pittsburgh,2.0,24.0,text,archival document
244,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655662,pamphlets​,,3=high confidence,31735061655662,"the jobless negro, by elizabeth lawson",,,,university of pittsburgh,1.0,56.0,text,archival document
245,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655894,leaflets (printed works),,3=high confidence,31735061655894,david p. widamen for congress 4th congressional district progressive party ticket campaign pamphlet,,,,university of pittsburgh,1.0,32.0,text,archival document
246,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735047451335,books,,3=high confidence,31735047451335,union town: a labor history guide to detroit,,,,university of pittsburgh,,140.0,text,archival document
247,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061539254,pamphlets,,1=slight confidence,31735061539254,"les conditions de la grandeur francais,",,1959-01,,university of pittsburgh,7.0,9.0,text,archival document
248,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058193933,serials (publications),,3=high confidence,31735058193933,"alternative, v2. n6,",,1950-02,,university of pittsburgh,1.0,129.0,text,archival document
249,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911325,serials (publications),periodicals​,3=high confidence,31735067911325,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1951-04-23,university of pittsburgh,,,text,periodical; periodicals.; periodicals
250,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913222,serials (publications),periodicals​,3=high confidence,31735067913222,mine mill union; union; mine-mill union; sindicato,,,1966-09,university of pittsburgh,,,text,periodical; periodicals.; periodicals
251,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451152,leaflets (printed works),,3=high confidence,31735047451152,"""ue 2nd national conference on problems of working house"" pamphlet,",,,,university of pittsburgh,,119.0,text,archival document
252,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657502,pamphlets​,,3=high confidence,31735061657502,"""a guide to the club, its role in building the united front in 1950"", a handbook for community club officers, prepared by carl dorfman",,,,university of pittsburgh,4.0,95.0,text,archival document
253,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544445,leaflets (printed works),,3=high confidence,31735061544445,"""no more hiroshimas...peace is our only defense"",",,1963-08-06,,university of pittsburgh,11.0,179.0,text,archival document
254,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397400,serials (publications),,3=high confidence,31735059397400,"spectre 4,",,1971-09/1971-10,,university of pittsburgh,6.0,20.0,text,archival document
255,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657809,serials (publications),,3=high confidence,31735061657809,"""history will be made at the stadium sun., sept. 24th""",,,,university of pittsburgh,2.0,149.0,text,archival document
256,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540179,pamphlets​,,3=high confidence,31735061540179,"crisis in the middle east, ""which way israel?"", by a.b. magil,",,1956-02,,university of pittsburgh,7.0,98.0,text,archival document
257,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539700,pamphlets​,,3=high confidence,31735061539700,"russia and the united states in war & peace, by daniel howard,",,1943,,university of pittsburgh,7.0,37.0,text,archival document
258,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449222,leaflets (printed works),,3=high confidence,31735047449222,"""men's business too-""",,,,university of pittsburgh,,116.0,text,archival document
259,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658286,pamphlets​,,3=high confidence,31735061658286,"""debs and dennis, fighters for peace"", by elizabeth gurley flynn,",,1950-10,,university of pittsburgh,3.0,119.0,text,archival document
260,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066205281,pamphlets​,,3=high confidence,31735066205281,"""boycott the elections!"" marxist-lenist party red women's detachment",,,,university of pittsburgh,8.0,90.0,text,archival document
261,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061657056,pamphlets,,3=high confidence,31735061657056,citizens without rights,,,,university of pittsburgh,2.0,12.0,text,archival document
262,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543678,serials (publications),,3=high confidence,31735061543678,"pocket library of socialism, no. 50, ""marx on cheapness""",,,,university of pittsburgh,10.0,87.0,text,archival document
263,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538959,serials (publications),,,31735061538959,"the white collar clarion,",,1936-01,,university of pittsburgh,6.0,50.0,text,archival document
264,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911416,serials (publications),periodicals​,3=high confidence,31735067911416,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1953-11-23,university of pittsburgh,,,text,periodical; periodicals.; periodicals
265,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655433,pamphlets​,,3=high confidence,31735051655433,"""the roman catholic church answered: attack of roman catholic church on socialism"" pamphlet,",,1911,,university of pittsburgh,14.0,68.0,text,archival document
266,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656835,mixed media,,1=slight confidence,31735061656835,anti-war paraphernalia,,,,university of pittsburgh,12.0,58.0,text,archival document
267,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397509,serials (publications),,2= moderate confidence,31735059397509,"""grape strike report number 1"",",,1965,,university of pittsburgh,11.0,131.0,text,archival document
268,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539965,​fliers,,3=high confidence,31735061539965,"""the a.f.t. strike continues!!"", policy on the first week of the semester",,,,university of pittsburgh,8.0,34.0,text,archival document
269,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658740,pamphlets​,,3=high confidence,31735061658740,"""america's housing crisis"", by louise mitchell,",,1946-05,,university of pittsburgh,3.0,97.0,text,archival document
270,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540070,pamphlets​,,3=high confidence,31735061540070,"""the demands of democracy"", by eugene j. mccarthy",,,,university of pittsburgh,8.0,20.0,text,archival document
271,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658526,pamphlets​,,3=high confidence,31735061658526,"""world capitalism and world socialism"", by william z. foster,",,1941-03,,university of pittsburgh,3.0,126.0,text,archival document
272,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735051655938,broadsides (notices),,2= moderate confidence,31735051655938,"up against the wall street journal,",,1970-02-11,,university of pittsburgh,14.0,97.0,text,archival document
273,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656397,pamphlets​,,3=high confidence,31735061656397,"""peace- the present imperative""",,,,university of pittsburgh,1.0,170.0,text,archival document
274,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061538850,books,,3=high confidence,31735061538850,"terror in kenya, the facts behind the present crisis,",,1952-12,,university of pittsburgh,6.0,107.0,text,archival document
275,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450931,leaflets (printed works),,3=high confidence,31735047450931,"""workers prefer ue"" pamphlet",,,,university of pittsburgh,37.0,96.0,text,archival document
276,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655300,pamphlets​,,3=high confidence,31735051655300,"""a fighting program for labor: jobs for all"" pamphlet,",,1945,,university of pittsburgh,11.0,118.0,text,archival document
277,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657338,pamphlets​,,3=high confidence,31735061657338,"civil liberties in the u.s.a., a short history of the origin and defense of the bill of rights, by s. small",,,,university of pittsburgh,2.0,20.0,text,archival document
278,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540799,pamphlets​,,3=high confidence,31735061540799,"""nowhere to lay their heads"", the jewish tragedy in europe and its solution, by victor gollancz",,,,university of pittsburgh,5.0,87.0,text,archival document
279,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539387,pamphlets​,,3=high confidence,31735061539387,"the red army,",,1934-06,,university of pittsburgh,7.0,27.0,text,archival document
280,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228911,pamphlets​,,3=high confidence,31735066228911,"book publishing under tzarism, by m.s. kedrov,",,1932,,university of pittsburgh,7.0,34.0,text,archival document
281,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657841,pamphlets​,,3=high confidence,31735061657841,"""an american people's program to end poverty and unemployment in the u.s."", economic program of the communist party, u.s.a.",,,,university of pittsburgh,2.0,151.0,text,archival document
282,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228580,pamphlets​,,3=high confidence,31735066228580,"certain misconceptions, a few current objections to socialism answered, by john m. work,",,1931,,university of pittsburgh,10.0,98.0,text,archival document
283,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539825,comics (documents),,3=high confidence,31735061539825,"""the chairman!"", classwar comix",,,,university of pittsburgh,7.0,108.0,text,archival document
284,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735060481904,serials (publications),,2= moderate confidence,31735060481904,resistance is the lesson: the meaning of the warsaw ghetto uprising,,,,university of pittsburgh,13.0,78.0,text,archival document
285,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656975,pamphlets​,,3=high confidence,31735061656975,"freedoms and foreign policy, by owen lattimore",,,,university of pittsburgh,2.0,8.0,text,archival document
286,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735051655573,fliers,,3=high confidence,31735051655573,"stop the u.s. war in el salvador,",,1982-03-27,,university of pittsburgh,13.0,38.0,text,archival document
287,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397087,pamphlets​,,3=high confidence,31735059397087,"""yeah a look at the white problem"" pamphlet,",,1963-12,,university of pittsburgh,7.0,139.0,text,archival document
288,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538819,pamphlets​,,3=high confidence,31735061538819,"japan's drive for conquest, by grace hutchins,",,1935,,university of pittsburgh,6.0,106.0,text,archival document
289,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911556,serials (publications),periodicals​,3=high confidence,31735067911556,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1953-04-20,university of pittsburgh,,,text,periodical; periodicals.; periodicals
290,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538488,pamphlets​,,3=high confidence,31735061538488,"""fight the slave labor law!"",",,1947-07,,university of pittsburgh,11.0,103.0,text,archival document
291,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540690,pamphlets​,,3=high confidence,31735061540690,"from these honored dead..., by david mckelvy white and james hawthorne",,,,university of pittsburgh,10.0,4.0,text,archival document
292,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656710,pamphlets​,,3=high confidence,31735061656710,"the american people want peace, a survey of public opinion, by jessica smith,",,1955,,university of pittsburgh,1.0,165.0,text,archival document
293,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540039,​fliers,,2= moderate confidence,31735061540039,flyer for the mcgovern-shriver campaign,,,,university of pittsburgh,12.0,66.0,text,archival document
294,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658708,pamphlets​,,3=high confidence,31735061658708,"""hold that rent ceiling"", by louise mitchell,",,1947-01,,university of pittsburgh,3.0,96.0,text,archival document
295,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538983,pamphlets​,,3=high confidence,31735061538983,"the camp of socialism and the camp of capitalism, by a.i. mikoyan,",,1952,,university of pittsburgh,6.0,94.0,text,archival document
296,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538512,pamphlets​,,3=high confidence,31735061538512,"the case of the legless veteran, by james kutcher",,,,university of pittsburgh,11.0,105.0,text,archival document
297,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659094,pamphlets​,,3=high confidence,31735061659094,"""pattern for american fascism"", by john l. spivak,",,1947-09,,university of pittsburgh,3.0,139.0,text,archival document
298,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397541,serials (publications),,,31735059397541,"frontiers,",,1932-06,,university of pittsburgh,4.0,90.0,text,archival document
299,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482753,photographs​,,3=high confidence,31735060482753,"""don't fight. go to prison!"" protest",,,,university of pittsburgh,12.0,50.0,still image,archival document
300,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451012,pamphlets​,,3=high confidence,31735047451012,"""you and your new job"" pamplet",,,,university of pittsburgh,,104.0,text,archival document
301,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658864,pamphlets​,,3=high confidence,31735061658864,"""building a militant student movement"", program of the national student league",,,,university of pittsburgh,4.0,2.0,text,archival document
302,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538967,pamphlets​,,3=high confidence,31735061538967,"company unions, by robert w. dunn",,,,university of pittsburgh,6.0,49.0,text,archival document
303,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151148,serials (publications),periodicals​,3=high confidence,31735065151148,mine mill union; union; mine-mill union; sindicato,,,1954-03-29,university of pittsburgh,,,text,periodical; periodicals.; periodicals
304,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658880,pamphlets​,,3=high confidence,31735061658880,"""what america needs"", a communist view , by eugene dennis and john gates,",,1956-03,,university of pittsburgh,4.0,45.0,text,archival document
305,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540146,pamphlets​,,3=high confidence,31735061540146,"""san diego convention coalition"",",,1972,,university of pittsburgh,7.0,121.0,text,archival document
306,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539197,pamphlets​,,3=high confidence,31735061539197,"""how cuba uprooted race discrimination"", by harry ring,",,1961-06,,university of pittsburgh,7.0,54.0,text,archival document
307,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066249164,serials (publications),periodicals​,3=high confidence,31735066249164,"new theatre,",,1936-06,,university of pittsburgh,33.0,2.0,text,archival document
308,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061657395,pamphlets,,2= moderate confidence,31735061657395,"mandel vs. mccarthyism,",,,,university of pittsburgh,2.0,47.0,text,archival document
309,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735060482084,pamphlets,,1=slight confidence,31735060482084,lavender vision lavender vision for the lesbian community,,,,university of pittsburgh,14.0,7.0,text,archival document
310,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540674,leaflets (printed works),,3=high confidence,31735061540674,"""come home, america"", a flyer for democratic presidential candidate george mcgovern",,,,university of pittsburgh,8.0,69.0,text,archival document
311,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075084,serials (publications),newspaper​s,3=high confidence,31735070075084,"political action; political action (milwaukee, wis.)",,,1912-02-24,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
312,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659524,pamphlets​,,3=high confidence,31735061659524,"""industrial slavery- roosevelt's 'new deal'"", by i. amter,",,1933-07,,university of pittsburgh,3.0,50.0,text,archival document
313,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537449,photographs​,,3=high confidence,31735061537449,"police arresting a communist parader,",,1930-03-07,,university of pittsburgh,4.0,142.0,still image,archival document
314,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735047449172,pamphlets,,3=high confidence,31735047449172,"the cio: what it is and what it does,",,1949,,university of pittsburgh,37.0,22.0,text,archival document
315,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451756,​fliers,,3=high confidence,31735047451756,"""building student power"" flyer",,,,university of pittsburgh,38.0,19.0,text,archival document
316,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061656991,pamphlets,,3=high confidence,31735061656991,scholar and school- new targets for bigotry,,,,university of pittsburgh,2.0,60.0,text,archival document
317,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658518,pamphlets​,,3=high confidence,31735061658518,"""this is treason!"", by sol vail",,,,university of pittsburgh,3.0,105.0,text,archival document
318,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450337,forms (documents),,3=high confidence,31735047450337,"association for union democracy literature order form,",,1981,,university of pittsburgh,37.0,17.0,text,archival document
319,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538256,serials (publications),periodicals​,3=high confidence,31735061538256,"tyomiehen joulu xxii,",,1924,,university of pittsburgh,4.0,172.0,text,archival document
320,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658989,pamphlets​,,3=high confidence,31735061658989,"""how fare youth?"", by tom dennison",,,,university of pittsburgh,3.0,157.0,text,archival document
321,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540229,serials (publications),,3=high confidence,31735061540229,"issue!,",,1968-04-15,,university of pittsburgh,7.0,123.0,text,archival document
322,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659284,pamphlets​,,3=high confidence,31735061659284,"""the united states in crisis- the communist solution"",",,1969-09,,university of pittsburgh,4.0,35.0,text,archival document
323,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538702,serials (publications),bulletin,3=high confidence,31735061538702,"discussion bulletin no. 1, ""the kremlin's satellite states in eastern europe, yugoslavia, marxist theory, and our perspectives"", by e.r. frank,",,1950-04,,university of pittsburgh,11.0,114.0,text,archival document
324,Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735066228564,papers (documents),,2= moderate confidence,31735066228564,national constitution of the socialist party,,,,university of pittsburgh,10.0,109.0,text,archival document
325,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913172,serials (publications),periodicals​,3=high confidence,31735067913172,mine mill union; union; mine-mill union; sindicato,,,1965-11,university of pittsburgh,,,text,periodical; periodicals.; periodicals
326,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913255,serials (publications),periodicals​,3=high confidence,31735067913255,mine mill union; union; mine-mill union; sindicato,,,1966-06,university of pittsburgh,,,text,periodical; periodicals.; periodicals
327,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068353410,serials (publications),periodicals​,3=high confidence,31735068353410,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1952-12-01,university of pittsburgh,,,text,periodical; periodicals.; periodicals
328,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228424,pamphlets​,,3=high confidence,31735066228424,"the people's front, the new betrayal, by james burnham,",,1937,,university of pittsburgh,11.0,107.0,text,archival document
329,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451343,​fliers,,3=high confidence,31735047451343,"""brothers and sisters of local #1397"" flyer",,,,university of pittsburgh,,142.0,text,archival document
330,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537803,photographs​,,3=high confidence,31735061537803,"radical communists rioting in chicago,",,1932-05-07,,university of pittsburgh,4.0,151.0,still image,archival document
331,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540369,correspondence,,3=high confidence,31735061540369,letter from george mcgovern,,,,university of pittsburgh,8.0,26.0,text,archival document
332,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449255,leaflets (printed works),,3=high confidence,31735047449255,"""closed plants: diaster for working people and their communities"" pamphlet,",,1980,,university of pittsburgh,37.0,25.0,text,archival document
333,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911606,serials (publications),periodicals​,3=high confidence,31735067911606,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1953-02-09,university of pittsburgh,,,text,periodical; periodicals.; periodicals
334,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539981,files (document groupings),,1=slight confidence,31735061539981,"assorted papers (3) from the peace and freedom club,",,1968,,university of pittsburgh,7.0,114.0,text,archival document
335,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228317,pamphlets​,,3=high confidence,31735066228317,"""the ashes of six million jews"", by fred blair,",,1946,,university of pittsburgh,5.0,86.0,text,archival document
336,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451616,forms (documents),,3=high confidence,31735047451616,bread and roses order form,,,,university of pittsburgh,38.0,1.0,text,archival document
337,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658096,pamphlets​,,3=high confidence,31735061658096,"""the smith act"", new conspiracy against american labor",,,,university of pittsburgh,2.0,101.0,text,archival document
338,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657247,pamphlets​,,3=high confidence,31735061657247,"can americans tolerate prison for ideas? pamphlet with accompanying letter,",,1954-04,,university of pittsburgh,2.0,76.0,text,archival document
339,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539510,pamphlets​,,3=high confidence,31735061539510,"mita sosialifascismi, sen historiallinen ja teoreettinen tausta, by earl browder,",,1934,,university of pittsburgh,7.0,43.0,text,archival document
340,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047448851,pamphlets​,,3=high confidence,31735047448851,"""would you smile?"",",,1950,,university of pittsburgh,37.0,1.0,text,archival document
341,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537332,serials (publications),periodicals​,3=high confidence,31735061537332,the party review,,,,university of pittsburgh,4.0,53.0,text,archival document
