assignee,link,identifier,title,date_created,date_issued,type_of_resource,genre,genre 2,level_of_confidence,note,, 
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061539254,31735061539254,"Les Conditions de la Grandeur Francais,",21551,,text,pamphlets,,1=slight confidence,"uncertain if periodical or pamphlet- might be first in a series, but I can't read French",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058193933,31735058193933,"Alternative, V2. N6,",18295,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911325,31735067911325,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,18741,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913222,31735067913222,Mine-Mill union; Mine Mill union; Sindicato; Union,,24351,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451152,31735047451152,"""UE 2nd National Conference on Problems of Working House"" Pamphlet,",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657502,31735061657502,"""A Guide to the Club, Its Role in Building the United Front in 1950"", A Handbook for Community Club Officers, Prepared By Carl Dorfman",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544445,31735061544445,"""No More Hiroshimas...Peace Is Our Only Defense"",",23229,,text,leaflets (printed works),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397400,31735059397400,"Spectre 4,",1971-09/1971-10,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657809,31735061657809,"""History Will be Made at the Stadium Sun., Sept. 24th""",,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540179,31735061540179,"Crisis in the Middle East, ""Which Way Israel?"", By A.B. Magil,",20486,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539700,31735061539700,"Russia and the United States in War & Peace, By Daniel Howard,",1943,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449222,31735047449222,"""Men's Business Too-""",,,text,leaflets (printed works),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658286,31735061658286,"""DEBS and DENNIS, Fighters for Peace"", By Elizabeth Gurley Flynn,",18537,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066205281,31735066205281,"""Boycott the Elections!"" Marxist-Lenist Party Red Women's Detachment",,,text,pamphlets​,,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061657056,31735061657056,Citizens Without Rights,,,text,pamphlets,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543678,31735061543678,"Pocket Library of Socialism, No. 50, ""Marx on Cheapness""",,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538959,31735061538959,"The White Collar Clarion,",13150,,text,serials (publications),,,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911416,31735067911416,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19686,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655433,31735051655433,"""The Roman Catholic Church Answered: Attack of Roman Catholic Church on Socialism"" Pamphlet,",1911,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656835,31735061656835,Anti-War Paraphernalia,,,text,mixed media,,1=slight confidence,uncertaim of media; looks like stamps and something else,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397509,31735059397509,"""Grape Strike Report Number 1"",",1965,,text,serials (publications),,2= moderate confidence,"haven't found subsequent issues; Students for Democratic Society (SDS), New Left Notes (related item)",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539965,31735061539965,"""The A.F.T. Strike Continues!!"", Policy on the First Week of the Semester",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658740,31735061658740,"""America's Housing Crisis"", By Louise Mitchell,",16923,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540070,31735061540070,"""The Demands of Democracy"", By Eugene J. McCarthy",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658526,31735061658526,"""World Capitalism and World Socialism"", By William Z. Foster,",15036,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735051655938,31735051655938,"Up Against the Wall Street Journal,",25610,,text,broadsides (notices),,2= moderate confidence,"uncertain of size
",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656397,31735061656397,"""Peace- The Present Imperative""",,,text,pamphlets​,,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061538850,31735061538850,"Terror in Kenya, The Facts Behind the Present Crisis,",19329,,text,books,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450931,31735047450931,"""Workers Prefer UE"" Pamphlet",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655300,31735051655300,"""A Fighting Program For Labor: Jobs for All"" Pamphlet,",1945,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657338,31735061657338,"Civil Liberties in the U.S.A., A Short History of the Origin and Defense of the Bill of Rights, by S. Small",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540799,31735061540799,"""Nowhere to Lay Their Heads"", The Jewish Tragedy in Europe and its Solution, By Victor Gollancz",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539387,31735061539387,"The Red Army,",12571,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228911,31735066228911,"Book Publishing Under Tzarism, By M.S. Kedrov,",1932,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657841,31735061657841,"""An American People's Program to End Poverty and Unemployment in the U.S."", Economic Program of the Communist Party, U.S.A.",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228580,31735066228580,"Certain Misconceptions, A Few Current Objections to Socialism Answered, by John M. Work,",1931,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539825,31735061539825,"""The Chairman!"", Classwar Comix",,,text,comics (documents),,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735060481904,31735060481904,Resistance is the Lesson: the Meaning of the Warsaw Ghetto Uprising,,,text,serials (publications),,2= moderate confidence,reprint from a magazine,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656975,31735061656975,"Freedoms and Foreign Policy, by Owen Lattimore",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735051655573,31735051655573,"Stop The U.S. War in El Salvador,",30037,,text,fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397087,31735059397087,"""Yeah A Look at the White Problem"" Pamphlet,",23346,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538819,31735061538819,"Japan's Drive for Conquest, By Grace Hutchins,",1935,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911556,31735067911556,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19469,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538488,31735061538488,"""Fight the Slave Labor Law!"",",17349,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540690,31735061540690,"From These Honored Dead..., By David McKelvy White and James Hawthorne",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656710,31735061656710,"The American People Want Peace, A Survey of Public Opinion, by Jessica Smith,",1955,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540039,31735061540039,Flyer for the McGovern-Shriver Campaign,,,text,​fliers,,2= moderate confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658708,31735061658708,"""Hold That Rent Ceiling"", By Louise Mitchell,",17168,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538983,31735061538983,"The Camp of Socialism and the Camp of Capitalism, By A.I. Mikoyan,",1952,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538512,31735061538512,"The Case of the Legless Veteran, By James Kutcher",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659094,31735061659094,"""Pattern for American Fascism"", By John L. Spivak,",17411,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397541,31735059397541,"Frontiers,",11841,,text,serials (publications),,,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482753,31735060482753,"""Don't Fight. Go To Prison!"" Protest",,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451012,31735047451012,"""You and Your New Job"" Pamplet",,,text,pamphlets​,,3=high confidence,pamphlet mispelled in title,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658864,31735061658864,"""Building a Militant Student Movement"", Program of the National Student League",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538967,31735061538967,"Company Unions, By Robert W. Dunn",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151148,31735065151148,Mine-Mill union; Mine Mill union; Sindicato; Union,,19812,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658880,31735061658880,"""What America Needs"", A Communist View , By Eugene Dennis and John Gates,",20515,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540146,31735061540146,"""San Diego Convention Coalition"",",1972,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539197,31735061539197,"""How Cuba Uprooted Race Discrimination"", By Harry Ring,",22433,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066249164,31735066249164,"New Theatre,",13302,,text,serials (publications),periodicals​,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061657395,31735061657395,"Mandel Vs. McCarthyism,",,,text,pamphlets,,2= moderate confidence,"transcript in pamphlet form, published by the National Guardian",,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735060482084,31735060482084,Lavender Vision Lavender Vision for the Lesbian Community,,,text,pamphlets,,1=slight confidence,"no price, contains several drawings and pictures",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540674,31735061540674,"""Come Home, America"", A Flyer for Democratic Presidential Candidate George McGovern",,,text,leaflets (printed works),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075084,31735070075084,"Political action; Political action (Milwaukee, Wis.)",,4438,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659524,31735061659524,"""Industrial Slavery- Roosevelt's 'New Deal'"", By I. Amter,",12236,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537449,31735061537449,"Police Arresting a Communist Parader,",11024,,still image,photographs​,,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735047449172,31735047449172,"The CIO: What it is and what it does,",1949,,text,pamphlets,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451756,31735047451756,"""Building Student Power"" Flyer",,,text,​fliers,,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061656991,31735061656991,Scholar and School- New Targets for Bigotry,,,text,pamphlets,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658518,31735061658518,"""This is Treason!"", By Sol Vail",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450337,31735047450337,"Association for Union Democracy Literature Order Form,",1981,,text,forms (documents),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538256,31735061538256,"Tyomiehen Joulu XXII,",1924,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658989,31735061658989,"""How Fare Youth?"", By Tom Dennison",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540229,31735061540229,"Issue!,",24943,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659284,31735061659284,"""The United States in Crisis- The Communist Solution"",",25447,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538702,31735061538702,"Discussion Bulletin No. 1, ""The Kremlin's Satellite States in Eastern Europe, Yugoslavia, Marxist Theory, and our Perspectives"", By E.R. Frank,",18354,,text,serials (publications),bulletin,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735066228564,31735066228564,National Constitution of the Socialist Party,,,text,papers (documents),,2= moderate confidence,constitution- record,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913172,31735067913172,Mine-Mill union; Mine Mill union; Sindicato; Union,,24047,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913255,31735067913255,Mine-Mill union; Mine Mill union; Sindicato; Union,,24259,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068353410,31735068353410,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19329,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228424,31735066228424,"The People's Front, The New Betrayal, by James Burnham,",1937,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451343,31735047451343,"""Brothers and Sisters of Local #1397"" Flyer",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537803,31735061537803,"Radical Communists Rioting in Chicago,",11816,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540369,31735061540369,Letter from George McGovern,,,text,correspondence,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449255,31735047449255,"""Closed Plants: Diaster for Working People and Their Communities"" Pamphlet,",1980,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911606,31735067911606,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19399,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539981,31735061539981,"Assorted Papers (3) from the Peace and Freedom Club,",1968,,text,files (document groupings),,1=slight confidence,assortment of documents,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228317,31735066228317,"""The Ashes of Six Million Jews"", By Fred Blair,",1946,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451616,31735047451616,Bread and Roses Order Form,,,text,forms (documents),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658096,31735061658096,"""The Smith Act"", New Conspiracy Against American Labor",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657247,31735061657247,"Can Americans Tolerate Prison for Ideas? Pamphlet with Accompanying Letter,",19815,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539510,31735061539510,"Mita Sosialifascismi, Sen Historiallinen ja Teoreettinen Tausta, By Earl Browder,",1934,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047448851,31735047448851,"""Would You Smile?"",",1950,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537332,31735061537332,The Party Review,,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656843,31735061656843,"A Christian View of Socialism, by G.H. Strobell",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068354848,31735068354848,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19161,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655623,31735051655623,Los Angeles Congress of Racial Equality Active membership Bulletin,,,text,serials (publications),bulletin,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658005,31735061658005,"""Congressional Election Platform of the Communist Party""",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070057108,31735070057108,"Political action; Political action (Milwaukee, Wis.)",,4270,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540260,31735061540260,"""The Struggle Inside""",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538827,31735061538827,"The New International, A Monthly Organ of Revolutionary Marxism,",13058,,text,serials (publications),,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735051655110,31735051655110,Shop Talks on Economics,,,text,books,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194048,31735058194048,"""Agents of Peace"" Pamphlet,",1951,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540567,31735061540567,Flyer for the Consumer-Citizens Party Presidential Candidate Barry Commoner,,,text,​fliers,,3=high confidence,,,
Lena Burdette,https://digital.library.pitt.edu/islandora/object/pitt:31735061656876,31735061656876,Elizabeth Bentley and Her Role in the Attack on the New Deal,,,text,pamphlets,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065150108,31735065150108,Mine-Mill union; Mine Mill union; Sindicato; Union,,22098,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450972,31735047450972,"""Why Restore the Wagner Act?"" Pamphlet,",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655342,31735051655342,"""Critics Group Dialectics #1"" Pamphlet,",1937,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061586883,31735061586883,"Punchin' Out with the Mill Hunk Herald,",28976,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544494,31735061544494,"""Inflation, Who Wins and Who Loses?"", By Maynard C. Krueger,",12501,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655845,31735061655845,"""Young Negro Workers! Fight Against Bosses Wars!"" Flyer for youth rally",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228812,31735066228812,"""The Economics of Barbarism"", Hitler's New Economic Order in Europe, By J. Kuczynski and M. Witt,",1942,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540609,31735061540609,"Flyer for a Free Concert in Support of John Zingaro, the Consumer Party Candidate for Pittsburgh City Council",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397624,31735059397624,"""An Appeal for Clemency"" Pamphlet,",1952,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397442,31735059397442,"The Student Advocate,",13271,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658138,31735061658138,"""Unemployment Insurance"", The Burning Issue of the Day, By Earl Browder,",12875,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450717,31735047450717,"""Organizing for Security"" Pamphlet",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537837,31735061537837,"Labor Research Association's Monthly Labor Notes,",14093,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911366,31735067911366,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,18685,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451376,31735047451376,"""Maine Antinuke Activists Arrested"" Article,",,,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657726,31735061657726,"""Forge Fighting Unity Against the Wall Street Warmakers and the Exploiters of the Southern Masses"", by Jim Jackson,",1950,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655621,31735061655621,"The People Versus Segregated Schools, by Doxey A. Wilkerson,",20121,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451111,31735047451111,"""A Message From UE Local 601. East Pittsburgh to All Westinghouse Workers....""",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539742,31735061539742,"""I'd Rather Vote for Something I Want..."", A Brief Introduction to the Human Rights Party Pamphlet",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657015,31735061657015,"Amnesty!, by Marion Bachrach,",19329,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538322,31735061538322,"Organized Labor and the Fascist Danger, By William Z. Foster,",17380,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659912,31735061659912,"""Fight for Your Future Now!"", By Max Weiss,",15646,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450303,31735047450303,"""Why Politicians Red-Bait"" Booklet",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""booklet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657155,31735061657155,"""The Bill of Rights and The Mundt-Ferguson Bills"", An Analysis of the Provisions and Opinion on their Constitutionality",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911515,31735067911515,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19525,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658385,31735061658385,"""March for Peace May 1st 1952"", United Labor and People's Committee for May Day,",1952,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194253,31735058194253,"""Don't Shop at Hudsons Boycott Farrah Pants"" Flyer,",26999,,text,​fliers,,3=high confidence,,,
